Alpha_Interpolation,Predicted_Temperature_ZScore
0.0,-2.6862947940826416
0.02040816326530612,-2.660172939300537
0.04081632653061224,-2.636363983154297
0.061224489795918366,-2.6147067546844482
0.08163265306122448,-2.5960025787353516
0.1020408163265306,-2.5805587768554688
0.12244897959183673,-2.5678489208221436
0.14285714285714285,-2.553741216659546
0.16326530612244897,-2.5343410968780518
0.18367346938775508,-2.493011713027954
0.2040816326530612,-2.4198596477508545
0.22448979591836732,-2.310614824295044
0.24489795918367346,-2.172361135482788
0.26530612244897955,-2.0352509021759033
0.2857142857142857,-1.8972082138061523
0.3061224489795918,-1.7601901292800903
0.32653061224489793,-1.6268433332443237
0.3469387755102041,-1.5074101686477661
0.36734693877551017,-1.3835465908050537
0.3877551020408163,-1.2379481792449951
0.4081632653061224,-1.106511116027832
0.42857142857142855,-1.080557942390442
0.44897959183673464,-1.1050878763198853
0.4693877551020408,-0.9587749242782593
0.4897959183673469,-0.7622417211532593
0.5102040816326531,-0.5986020565032959
0.5306122448979591,-0.4121098220348358
0.5510204081632653,-0.2938164472579956
0.5714285714285714,-0.19757378101348877
0.5918367346938775,-0.10557561367750168
0.6122448979591836,-0.017420195043087006
0.6326530612244897,0.0704902783036232
0.6530612244897959,0.1586422324180603
0.673469387755102,0.24364504218101501
0.6938775510204082,0.32735830545425415
0.7142857142857142,0.4105531573295593
0.7346938775510203,0.4926835596561432
0.7551020408163265,0.5781485438346863
0.7755102040816326,0.6660201549530029
0.7959183673469387,0.7536410093307495
0.8163265306122448,0.8403159976005554
0.836734693877551,0.9331538677215576
0.8571428571428571,1.031496286392212
0.8775510204081632,1.129601001739502
0.8979591836734693,1.227441430091858
0.9183673469387754,1.3240848779678345
0.9387755102040816,1.4192571640014648
0.9591836734693877,1.52426016330719
0.9795918367346939,1.6340959072113037
1.0,1.7422375679016113
